,player_name,player_height,Pos,3P%,3PA,Season
433,Jalen Rose,203.2,SG,0.491,2.2,2005
434,Jalen Rose,203.2,SF,0.447,1.6,2006
435,Jamal Mashburn,203.2,SF,0.303,2.5,1997
436,Jamal Mashburn,203.2,SF,0.433,1.3,1998
437,Jamal Mashburn,203.2,SF,0.403,3.7,1999
438,Jamal Mashburn,203.2,SF,0.356,3.8,2000
439,Jamal Mashburn,203.2,SF,0.366,2.8,2001
440,Jamal Mashburn,203.2,SF,0.389,3.7,2002
441,Jamal Mashburn,203.2,SF,0.284,3.5,2003
442,James Robinson,187.96,PG,0.329,3.2,1997
443,James Robinson,187.96,PG,0.284,2.4,1998
444,James Robinson,187.96,PG,0.267,2.1,1998
445,James Robinson,187.96,PG,0.295,2.6,1998
446,James Robinson,187.96,PG,0.4,0.8,2000
447,Jamie Feick,203.2,PF,0.308,0.3,1997
454,Jaren Jackson,198.12,SG,0.377,3.6,1997
455,Jaren Jackson,198.12,SG,0.361,3.1,1998
456,Jaren Jackson,198.12,SG,0.353,3.8,1999
457,Jaren Jackson,198.12,SG,0.389,1.1,2000
458,Jaren Jackson,198.12,SG,0.35,2.2,2001
470,Jeff Grayer,195.58,SG,0.333,1.2,1997
471,Jeff Grayer,195.58,SG,0.0,3.0,1997
472,Jeff Grayer,195.58,SG,0.667,0.8,1997
473,Jeff Hornacek,193.04,SG,0.441,1.6,1997
474,Jeff Hornacek,193.04,SG,0.42,1.7,1998
475,Jeff Hornacek,193.04,SG,0.478,1.8,1999
476,Hersey Hawkins,190.5,SG,0.415,3.7,1997
477,Hersey Hawkins,190.5,SG,0.306,3.6,1998
478,Hersey Hawkins,190.5,SG,0.39,2.3,1999
479,Hersey Hawkins,190.5,SG,0.37,0.8,2000
480,Eddie Jones,198.12,SG,0.389,4.6,1997
481,Eddie Jones,198.12,SF-SG,0.338,2.8,1998
482,Eddie Jones,198.12,SG,0.313,3.2,1998
483,Eddie Jones,198.12,SF,0.359,2.6,1998
484,Eddie Jones,198.12,SG,0.375,4.7,1999
485,Eddie Jones,198.12,SG,0.378,3.8,2000
486,Eddie Jones,198.12,SG,0.39,4.7,2001
487,Eddie Jones,198.12,SG,0.407,5.1,2002
488,Eddie Jones,198.12,SG,0.37,5.9,2003
489,Eddie Jones,198.12,SF,0.372,4.8,2004
490,Eddie Jones,198.12,SG,0.356,5.0,2005
491,Eddie Jones,198.12,SG,0.351,3.5,2006
492,Eddie Jones,198.12,SG,0.297,2.6,2006
493,Eddie Jones,198.12,SG,0.378,4.2,2006
494,Eddie Jones,198.12,SG,0.293,2.5,2007
495,Eddie Johnson,200.66,SF,0.333,2.6,1997
496,Eddie Johnson,200.66,SF,0.0,0.3,1998
497,Chris Mills,200.66,SF,0.292,1.7,1997
498,Chris Mills,200.66,SF,0.278,2.4,1998
499,Chris Mills,200.66,SF,0.267,1.5,1999
500,Chris Mills,200.66,SF,0.28,1.7,2000
501,Chris Mills,200.66,SF,0.378,1.9,2001
502,Chris Mills,200.66,PF,0.28,1.2,2002
503,Chris Morris,203.2,SF,0.306,1.1,1997
504,Chris Morris,203.2,SF,0.286,1.3,1998
505,Chris Robinson,195.58,SG,0.364,1.9,1997
506,Chris Robinson,195.58,SG,0.292,1.5,1997
507,Chris Robinson,195.58,SG,0.405,2.2,1997
508,Chris Whitney,182.88,PG,0.308,2.1,1997
509,Chris Whitney,182.88,PG,0.337,2.4,1998
510,Chris Whitney,182.88,PG,0.376,3.1,1999
511,Chris Whitney,182.88,PG,0.375,4.2,2000
512,Chris Whitney,182.88,PG,0.406,3.9,2001
513,Chris Whitney,182.88,PG,0.305,3.2,2002
514,Chris Whitney,182.88,PG,0.336,4.4,2002
515,Chris Whitney,182.88,PG,0.194,1.6,2002
516,Chris Whitney,182.88,PG,0.444,1.1,2003
517,Christian Laettner,210.82,PF,0.222,0.4,1997
518,Christian Laettner,210.82,PF,0.333,0.2,1998
519,Christian Laettner,210.82,C,0.292,0.3,1999
520,Christian Laettner,210.82,C-PF,0.308,0.2,2000
522,Christian Laettner,210.82,PF,0.3,0.4,2000
523,Christian Laettner,210.82,PF,0.2,0.2,2001
524,Christian Laettner,210.82,PF,0.125,0.2,2002
525,Christian Laettner,210.82,PF,0.286,0.4,2003
528,Chucky Brown,203.2,PF,0.375,0.8,1998
529,Chucky Brown,203.2,PF,0.2,0.2,1999
531,Chucky Brown,203.2,PF,0.143,0.2,1999
533,Chucky Brown,203.2,SF,0.0,0.3,2000
537,Chris Gatling,208.28,C,0.125,0.2,1998
539,Chris Gatling,208.28,C,0.143,0.2,1998
540,Chris Gatling,208.28,PF,0.257,0.8,1999
541,Chris Gatling,208.28,PF,0.304,0.5,1999
542,Chris Gatling,208.28,PF,0.234,1.2,1999
543,Chris Gatling,208.28,PF,0.304,1.2,2000
553,Corie Blount,208.28,PF,0.25,0.2,2000
573,Cory Alexander,185.42,PG,0.375,2.9,1997
574,Cory Alexander,185.42,PG,0.313,1.7,1997
575,Cory Alexander,185.42,PG,0.411,4.9,1997
576,Cory Alexander,185.42,PG,0.286,2.9,1998
577,Cory Alexander,185.42,PG,0.257,1.2,1999
578,Cory Alexander,185.42,PG,0.25,0.6,2000
579,Cory Alexander,185.42,SG,0.421,1.2,2004
592,Dale Ellis,200.66,SF,0.464,3.5,1997
593,Dale Ellis,200.66,SF,0.433,4.5,1998
594,Dale Ellis,200.66,SG,0.37,2.4,1999
595,Dale Ellis,200.66,SG,0.354,3.6,1999
596,Dale Ellis,200.66,SG,0.4,1.5,1999
597,Clifford Robinson,208.28,SF,0.321,1.1,1997
598,Clifford Robinson,208.28,SF,0.417,2.8,1998
599,Clifford Robinson,208.28,SF,0.37,4.1,1999
600,Clifford Robinson,208.28,PF,0.361,3.0,2000
601,Clifford Robinson,208.28,PF,0.378,3.8,2001
602,Clifford Robinson,208.28,PF,0.336,3.2,2002
603,Clifford Robinson,208.28,PF,0.357,3.8,2003
604,Clifford Robinson,208.28,C-PF,0.347,2.7,2004
605,Clifford Robinson,208.28,C,0.331,3.0,2004
606,Clifford Robinson,208.28,PF,0.379,2.3,2004
607,Clifford Robinson,208.28,PF,0.343,2.2,2005
608,Clifford Robinson,208.28,C,0.379,1.3,2006
615,Chris Childs,190.5,PG,0.31,1.3,1997
616,Chris Childs,190.5,PG,0.383,2.0,1998
617,Chris Childs,190.5,PG,0.356,1.5,1999
618,Chris Childs,190.5,PG,0.302,1.4,2000
619,Chris Childs,190.5,PG,0.313,1.3,2000
620,Chris Childs,190.5,PG,0.286,1.6,2000
621,Chris Childs,190.5,PG,0.275,1.7,2001
622,Chris Childs,190.5,PG,0.167,0.5,2002
623,Chris Carr,198.12,SG,0.315,2.5,1997
624,Chris Carr,198.12,SG,0.373,1.9,1998
625,Chris Carr,198.12,SG,0.333,0.8,1998
626,Chris Carr,198.12,SG,0.379,2.4,1998
627,Chris Carr,198.12,SF-SG,0.317,1.8,1999
628,Chris Carr,198.12,SG,0.125,1.1,1999
629,Chris Carr,198.12,SF,0.333,1.9,1999
630,Chris Carr,198.12,SG,0.459,1.1,2000
631,Brian Evans,203.2,SF,0.333,1.2,1997
632,Brian Evans,203.2,SF,0.267,1.0,1997
633,Brian Evans,203.2,SF,0.405,1.5,1997
634,Brian Evans,203.2,SF,0.308,0.8,1998
635,Brian Evans,203.2,SF,0.364,1.0,1998
636,Brian Evans,203.2,SF,0.0,0.4,1998
646,Brian Shaw,198.12,PG,0.295,1.6,1997
647,Brian Shaw,198.12,PG,0.313,1.7,1997
648,Brian Shaw,198.12,PG,0.25,1.4,1997
650,Brian Shaw,198.12,SG,0.31,0.8,1999
651,Brian Shaw,198.12,SG,0.311,1.7,2000
652,Brian Shaw,198.12,PG,0.33,1.5,2001
653,Brian Shaw,198.12,PG,0.349,1.5,2002
654,Brooks Thompson,193.04,PG,0.3,1.0,1997
655,Brooks Thompson,193.04,PG,0.313,1.2,1997
656,Brooks Thompson,193.04,PG,0.286,0.8,1997
657,Bruce Bowen,200.66,SF,0.339,1.0,1997
658,Bruce Bowen,200.66,SF,0.269,0.9,1998
659,Bruce Bowen,200.66,SF,0.466,0.8,1999
661,Bruce Bowen,200.66,SF,0.464,2.1,1999
662,Bruce Bowen,200.66,SF,0.336,3.7,2000
663,Bruce Bowen,200.66,SF,0.378,2.5,2001
664,Bruce Bowen,200.66,SF,0.441,2.8,2002
665,Bruce Bowen,200.66,SF,0.363,2.6,2003
666,Bruce Bowen,200.66,SF,0.403,3.1,2004
667,Bruce Bowen,200.66,SF,0.424,3.0,2005
668,Bruce Bowen,200.66,SF,0.384,2.8,2006
669,Bruce Bowen,200.66,SF,0.419,2.7,2007
670,Bruce Bowen,200.66,SF,0.429,1.2,2008
675,Bryant Stith,195.58,SG,0.208,1.5,1997
676,Bryant Stith,195.58,SG,0.292,2.3,1998
677,Bryant Stith,195.58,SG,0.304,1.2,1999
678,Bryant Stith,195.58,SG,0.376,3.1,2000
679,Bryant Stith,195.58,SG,0.353,1.4,2001
680,Bryon Russell,200.66,SF,0.341,2.6,1997
681,Bryon Russell,200.66,SF,0.354,2.9,1998
682,Bryon Russell,200.66,SF,0.396,3.3,1999
683,Bryon Russell,200.66,SF,0.413,2.9,2000
684,Bryon Russell,200.66,SG,0.341,3.4,2001
685,Bryon Russell,200.66,SF,0.329,2.0,2002
686,Bryon Russell,200.66,SF,0.384,1.6,2003
687,Bryon Russell,200.66,SF,0.376,2.1,2004
690,Calbert Cheaney,200.66,SG,0.283,0.6,1997
691,Calbert Cheaney,200.66,SG,0.216,0.7,1998
692,Calbert Cheaney,200.66,SG,0.333,0.8,1999
695,Calbert Cheaney,200.66,SG,0.4,0.3,2002
698,Calbert Cheaney,200.66,SF,0.0,0.2,2005
703,Carl Thomas,193.04,SG,0.339,1.4,1997
704,Carl Thomas,193.04,SG,0.238,2.1,1997
706,Carl Thomas,193.04,SG,0.395,1.3,1997
709,Carlos Rogers,210.82,PF,0.0,0.3,1997
711,Carlos Rogers,210.82,C,0.071,0.3,1999
713,Carlos Rogers,210.82,C,0.167,0.3,2001
714,Cedric Ceballos,200.66,SF,0.3,1.5,1997
715,Cedric Ceballos,200.66,SF,0.3,1.4,1997
716,Cedric Ceballos,200.66,SF,0.3,1.7,1997
717,Cedric Ceballos,200.66,SF,0.393,2.2,1998
718,Cedric Ceballos,200.66,SF,0.328,1.9,1999
719,Cedric Ceballos,200.66,SF,0.301,1.8,2000
720,Cedric Ceballos,200.66,SF,0.275,3.1,2000
721,Cedric Ceballos,200.66,SF,0.333,1.2,2000
723,Charles Jones,205.74,SG,0.311,2.1,1998
724,Charles Jones,205.74,PG,0.331,2.1,1999
727,Charles Oakley,205.74,PF,0.341,0.5,1999
728,Charles Oakley,205.74,PF,0.224,0.6,2000
732,Charles Smith,208.28,SG,0.319,1.4,1997
733,Charles Smith,208.28,SG,0.333,0.3,1997
734,Charles Smith,208.28,SG,0.318,1.9,1997
735,Charles Smith,208.28,SG,0.212,1.4,1998
736,Charles Smith,208.28,SG,0.267,2.2,2001
737,Charles Smith,208.28,SG,0.0,0.3,2002
738,Charles Smith,208.28,SG,0.395,1.7,2005
739,Charles Smith,208.28,SG,0.405,1.8,2005
740,Charles Smith,208.28,SG,0.0,1.0,2005
741,Charlie Ward,187.96,PG,0.377,2.6,1997
742,Charlie Ward,187.96,PG,0.356,3.0,1998
743,Charlie Ward,187.96,PG,0.386,3.7,1999
744,Charlie Ward,187.96,PG,0.383,2.9,2000
745,Charlie Ward,187.96,PG,0.323,2.6,2001
746,Charlie Ward,187.96,PG,0.378,4.0,2002
747,Charlie Ward,187.96,PG,0.408,2.9,2003
748,Charlie Ward,187.96,PG,0.428,3.9,2003
749,Charlie Ward,187.96,PG,0.368,1.9,2003
750,Charlie Ward,187.96,PG,0.314,3.6,2004
760,Damon Stoudamire,177.8,PG,0.299,4.3,1997
761,Damon Stoudamire,177.8,PG,0.317,4.2,1997
762,Damon Stoudamire,177.8,PG,0.263,4.5,1997
763,Damon Stoudamire,177.8,PG,0.31,2.8,1998
764,Damon Stoudamire,177.8,PG,0.377,2.7,1999
765,Damon Stoudamire,177.8,PG,0.374,2.7,2000
766,Damon Stoudamire,177.8,PG,0.353,3.9,2001
767,Damon Stoudamire,177.8,PG,0.386,1.9,2002
768,Damon Stoudamire,177.8,PG,0.365,5.2,2003
769,Damon Stoudamire,177.8,PG,0.369,6.0,2004
770,Damon Stoudamire,177.8,PG,0.346,3.9,2005
771,Damon Stoudamire,177.8,PG,0.337,2.8,2006
772,Damon Stoudamire,177.8,PG,0.336,2.5,2007
773,Damon Stoudamire,177.8,PG,0.383,3.2,2007
774,Damon Stoudamire,177.8,PG,0.255,1.8,2007
775,Dan Majerle,198.12,SG,0.376,4.1,1997
776,Dan Majerle,198.12,SG,0.335,4.2,1998
777,Dan Majerle,198.12,SG,0.362,4.4,1999
778,Dan Majerle,198.12,SG,0.315,3.4,2000
779,Dan Majerle,198.12,SG,0.336,3.6,2001
780,Dana Barros,180.34,PG,0.338,2.4,2001
787,Don MacLean,208.28,SF,0.5,0.2,1997
788,Don MacLean,208.28,PF,0.273,1.9,1998
789,Don MacLean,208.28,PF,0.333,0.4,1999
802,Donald Whiteside,177.8,PG,0.0,0.3,1997
803,Donny Marshall,200.66,SF,0.0,0.5,1999
804,Donny Marshall,200.66,SF,0.5,0.2,2001
805,Donny Marshall,200.66,SF,0.0,0.3,2002
